,price
1700,2200.0
1701,3300.0
1702,6641.0
1703,3896.0
1704,2550.0
1705,2495.0
1706,2725.0
1707,2000.0
1708,2500.0
1709,4500.0
1710,5000.0
1711,3305.0
1712,3150.0
1713,3950.0
1714,9495.0
1715,1800.0
1716,1900.0
1717,2800.0
1718,4500.0
1719,2000.0
1720,5000.0
1721,1895.0
1722,3850.0
1723,3795.0
1724,3105.0
1725,2400.0
1726,4295.0
1727,3500.0
1728,2650.0
1729,2345.0
1730,5087.0
1731,3180.0
1732,3180.0
1733,1700.0
1734,2455.0
1735,2455.0
1736,2350.0
1737,1725.0
1738,4200.0
1739,2495.0
1740,2300.0
1741,2900.0
1742,2550.0
1743,1750.0
1744,3000.0
1745,2350.0
1746,4400.0
1747,3400.0
1748,2050.0
1749,3000.0
1750,3725.0
1751,1600.0
1752,2900.0
1753,7500.0
1754,2595.0
1755,2995.0
1756,2995.0
1757,3600.0
1758,2675.0
1759,3500.0
1760,1325.0
1761,2050.0
1762,4100.0
1763,1599.0
1764,8500.0
1765,3500.0
1766,3700.0
1767,5895.0
1768,5495.0
1769,3795.0
1770,2995.0
1771,5995.0
1772,3000.0
1773,2499.0
1774,2500.0
1775,1150.0
1776,2375.0
1777,2575.0
1778,1200.0
1779,3595.0
1780,4300.0
1781,3200.0
1782,2195.0
1783,2292.0
1784,1850.0
1785,1850.0
1786,2544.0
1787,3450.0
1788,2750.0
1789,1400.0
1790,4400.0
1791,1750.0
1792,2250.0
1793,2600.0
1794,1600.0
1795,2400.0
1796,2950.0
1797,2500.0
1798,3500.0
1799,3181.0
1800,3181.0
1801,1825.0
1802,6200.0
1803,3895.0
1804,3000.0
1805,1990.0
1806,3495.0
1807,3000.0
1808,2450.0
1809,4400.0
1810,3600.0
1811,1400.0
1812,5425.0
1813,2200.0
1814,2395.0
1815,2150.0
1816,1950.0
1817,5095.0
1818,1875.0
1819,3137.0
1820,2375.0
1821,2295.0
1822,2250.0
1823,2775.0
1824,2750.0
1825,2800.0
1826,2800.0
1827,3689.0
1828,1450.0
1829,3000.0
1830,2450.0
1831,2150.0
1832,2200.0
1833,4600.0
1834,4929.0
1835,3025.0
1836,1400.0
1837,2200.0
1838,4400.0
1839,2000.0
1840,9800.0
1841,4450.0
1842,2850.0
1843,3233.0
1844,2750.0
1845,1475.0
1846,4200.0
1847,3295.0
1848,4000.0
1849,2550.0
1850,2200.0
1851,2700.0
1852,1950.0
1853,1750.0
1854,2400.0
1855,3049.0
1856,3700.0
1857,3400.0
1858,2499.0
1859,6500.0
1860,2750.0
1861,2499.0
1862,3200.0
1863,1500.0
1864,1995.0
1865,1500.0
1866,2095.0
1867,3150.0
1868,1950.0
1869,4115.0
1870,2438.0
1871,2384.0
1872,4150.0
1873,7083.0
1874,2300.0
1875,3800.0
1876,2495.0
1877,3550.0
1878,3095.0
1879,3355.0
1880,3080.0
1881,1500.0
